date,open,high,close,low,volume,amount
2015-04-08,17.81,18.75,18.64,17.81,15772597.0,285048352.0
2015-04-07,16.73,18.19,17.75,16.69,12247185.0,211952160.0
2015-04-03,16.63,16.97,16.86,16.44,9196288.0,152479456.0
2015-04-02,16.4,16.69,16.63,16.4,6633632.0,108571216.0
2015-04-01,16.37,16.67,16.48,16.19,6860942.0,111492024.0
2015-03-31,16.98,17.08,16.36,16.26,8446762.0,138168816.0
2015-03-30,16.18,16.83,16.61,16.18,8509045.0,139455248.0
2015-03-27,15.08,16.05,15.96,15.08,12035213.0,186568480.0
2015-03-26,15.32,15.53,15.11,15.09,8487775.0,127967984.0
2015-03-25,16.16,16.16,15.48,15.36,9717440.0,150565600.0
2015-03-24,15.56,16.35,15.86,15.46,15339008.0,240201792.0
2015-03-23,15.52,15.74,15.56,15.43,8946132.0,137439072.0
2015-03-20,15.56,15.66,15.52,15.36,7680013.0,117328616.0
2015-03-19,15.38,15.82,15.56,15.29,9364419.0,144251728.0
2015-03-18,15.36,15.84,15.49,15.2,12153871.0,187093280.0
2015-03-17,15.08,15.62,15.36,14.8,15877077.0,240201568.0
2015-03-16,14.69,15.23,15.04,14.68,9446830.0,140121632.0
2015-03-13,14.3,14.67,14.64,14.25,6134222.0,87318856.0
2015-03-12,14.28,14.97,14.28,14.11,8497837.0,121423920.0
2015-03-11,14.97,15.26,14.47,14.31,11970843.0,173901696.0
2015-03-10,14.37,14.97,14.82,14.17,10121351.0,147131808.0
2015-03-09,14.31,15.02,14.48,13.96,14494566.0,208874976.0
2015-03-06,13.32,14.65,14.45,13.28,17983172.0,249269984.0
2015-03-05,13.03,13.61,13.31,13.02,9318039.0,122961088.0
2015-03-04,12.95,13.07,13.05,12.76,6707544.0,85616392.0
2015-03-03,12.67,13.21,12.85,12.67,13907161.0,178442144.0
2015-03-02,12.39,12.82,12.67,12.34,9629173.0,120188296.0
2015-02-27,12.2,12.36,12.34,12.2,3539305.0,42971896.0
2015-02-26,12.23,12.32,12.27,12.14,2599064.0,31384504.0
2015-02-25,12.36,12.51,12.23,12.21,3347490.0,40893216.0
2015-02-17,12.32,12.39,12.36,12.27,3545301.0,43264640.0
2015-02-16,12.23,12.37,12.26,12.19,3275002.0,39705028.0
2015-02-13,12.02,12.42,12.23,11.94,4823486.0,58437536.0
2015-02-12,11.94,11.98,11.92,11.86,1735135.0,20434840.0
2015-02-11,11.72,11.96,11.9,11.65,1798768.0,20974316.0
2015-02-10,11.6,11.77,11.64,11.53,2337819.0,26852836.0
2015-02-09,11.91,11.91,11.6,11.55,2568093.0,29776736.0
2015-02-06,11.99,12.14,11.92,11.9,2786727.0,33038876.0
2015-02-05,12.29,12.29,11.99,11.97,2768543.0,33095170.0
2015-02-04,12.19,12.29,12.13,12.06,3145514.0,37821192.0
2015-02-03,12.13,12.34,12.18,12.1,2903106.0,34980968.0
2015-02-02,11.94,12.29,12.11,11.8,4092350.0,48803560.0
2015-01-30,12.55,12.64,12.2,12.14,8353752.0,101946944.0
2015-01-29,12.33,13.0,12.75,12.32,11756307.0,148286640.0
2015-01-28,12.29,12.55,12.31,12.27,4404512.0,53873344.0
2015-01-27,12.78,12.82,12.45,12.25,9309657.0,115326960.0
2015-01-26,12.83,13.1,12.72,12.43,12997457.0,163706496.0
2015-01-23,12.24,13.23,12.65,12.21,14180989.0,178844944.0
2015-01-22,12.31,12.43,12.41,11.99,11899792.0,143581136.0
2015-01-21,11.2,12.35,12.35,11.2,12469999.0,147427088.0
2015-01-20,11.1,11.26,11.23,11.03,2631286.0,29031580.0
2015-01-19,11.15,11.41,10.92,10.67,3668900.0,40353196.0
2015-01-16,11.22,11.62,11.47,11.21,4308808.0,48709028.0
2015-01-15,11.0,11.14,11.09,10.93,1811266.0,19791462.0
2015-01-14,11.13,11.26,11.1,11.02,1967311.0,21639932.0
2015-01-13,11.06,11.16,11.14,11.02,1971199.0,21570712.0
2015-01-12,11.21,11.31,11.04,10.94,2873816.0,31481620.0
2015-01-09,11.82,11.85,11.36,11.32,4485156.0,51114848.0
2015-01-08,11.84,12.06,11.81,11.78,5684571.0,66737968.0
2015-01-07,11.72,12.13,12.06,11.61,8668138.0,102388288.0
2015-01-06,11.26,11.8,11.75,11.16,5919993.0,67516480.0
2015-01-05,11.29,11.52,11.39,11.02,4638357.0,51559288.0
